# M nu b b_e b_t pd pd_e box snap
8.422962e+12 3.514029e+00 6.761988e+00 2.745579e-01 7.057103e+00 -4.181821e-02 3.890519e-02 0 0
9.799013e+12 3.608950e+00 7.050883e+00 2.848520e-01 7.498733e+00 -5.972346e-02 3.798668e-02 0 0
1.221343e+13 3.754039e+00 8.039627e+00 3.339591e-01 8.141904e+00 -1.256176e-02 4.101732e-02 0 0
1.627684e+13 3.956513e+00 8.165411e+00 4.593850e-01 9.103663e+00 -1.030632e-01 5.046156e-02 0 0
2.644018e+13 4.336764e+00 1.028742e+01 7.384649e-01 1.099736e+01 -6.455545e-02 6.714930e-02 0 0
8.341141e+12 2.650709e+00 4.132679e+00 8.256139e-02 4.002869e+00 3.242933e-02 2.062556e-02 0 1
9.369330e+12 2.705412e+00 4.325443e+00 7.699126e-02 4.188773e+00 3.262755e-02 1.838038e-02 0 1
1.090457e+13 2.779375e+00 4.422674e+00 8.359171e-02 4.414613e+00 1.825930e-03 1.893523e-02 0 1
1.295350e+13 2.866978e+00 4.718536e+00 9.595466e-02 4.691712e+00 5.717154e-03 2.045195e-02 0 1
1.573218e+13 2.970830e+00 5.084043e+00 1.067496e-01 5.035625e+00 9.615155e-03 2.119889e-02 0 1
1.961779e+13 3.095622e+00 5.479056e+00 1.261467e-01 5.468133e+00 1.997599e-03 2.306942e-02 0 1
2.518885e+13 3.246421e+00 5.817759e+00 1.663040e-01 6.020398e+00 -3.365879e-02 2.762343e-02 0 1
3.334945e+13 3.428816e+00 6.470531e+00 2.281680e-01 6.737955e+00 -3.968922e-02 3.386309e-02 0 1
4.574341e+13 3.652513e+00 7.543008e+00 3.397627e-01 7.688882e+00 -1.897211e-02 4.418883e-02 0 1
7.338807e+13 4.028356e+00 9.594407e+00 6.015272e-01 9.457671e+00 1.445769e-02 6.360205e-02 0 1
8.286630e+12 1.815073e+00 2.163123e+00 2.986875e-02 2.041957e+00 5.933779e-02 1.462751e-02 0 2
9.202810e+12 1.848796e+00 2.286794e+00 2.634839e-02 2.115677e+00 8.088045e-02 1.245388e-02 0 2
1.052773e+13 1.893427e+00 2.382872e+00 2.688797e-02 2.200255e+00 8.299785e-02 1.222039e-02 0 2
1.216815e+13 1.943281e+00 2.440734e+00 2.942155e-02 2.297831e+00 6.219019e-02 1.280405e-02 0 2
1.424440e+13 1.999750e+00 2.549998e+00 3.011768e-02 2.411100e+00 5.760772e-02 1.249126e-02 0 2
1.689365e+13 2.063654e+00 2.695322e+00 3.430451e-02 2.543488e+00 5.969538e-02 1.348719e-02 0 2
2.026202e+13 2.135121e+00 2.874764e+00 3.755733e-02 2.699320e+00 6.499577e-02 1.391363e-02 0 2
2.461630e+13 2.215723e+00 3.008772e+00 4.162954e-02 2.884329e+00 4.314441e-02 1.443301e-02 0 2
3.043270e+13 2.308698e+00 3.239671e+00 4.669581e-02 3.105960e+00 4.304989e-02 1.503426e-02 0 2
3.820728e+13 2.414852e+00 3.551665e+00 5.597913e-02 3.374138e+00 5.261383e-02 1.659064e-02 0 2
4.877851e+13 2.536860e+00 3.865262e+00 7.159108e-02 3.702265e+00 4.402621e-02 1.933710e-02 0 2
6.354755e+13 2.679231e+00 4.195544e+00 9.013140e-02 4.108700e+00 2.113675e-02 2.193672e-02 0 2
8.438366e+13 2.844927e+00 4.550553e+00 1.210767e-01 4.618864e+00 -1.478952e-02 2.621353e-02 0 2
1.143090e+14 3.038917e+00 5.280405e+00 1.713503e-01 5.269281e+00 2.111105e-03 3.251873e-02 0 2
1.591884e+14 3.272629e+00 6.010942e+00 2.484538e-01 6.111517e+00 -1.645651e-02 4.065338e-02 0 2
2.590413e+14 3.664560e+00 7.755026e+00 4.076695e-01 7.703793e+00 6.650396e-03 5.291802e-02 0 2
8.264902e+12 1.694450e+00 1.972816e+00 2.673487e-02 1.833081e+00 7.622950e-02 1.458466e-02 0 3
9.166134e+12 1.725509e+00 2.007364e+00 2.259166e-02 1.895792e+00 5.885228e-02 1.191674e-02 0 3
1.047142e+13 1.766717e+00 2.150375e+00 2.428849e-02 1.967356e+00 9.302792e-02 1.234575e-02 0 3
1.207549e+13 1.812467e+00 2.188132e+00 2.498821e-02 2.049442e+00 6.767219e-02 1.219269e-02 0 3
1.408731e+13 1.863925e+00 2.281822e+00 2.617249e-02 2.144138e+00 6.421405e-02 1.220653e-02 0 3
1.661524e+13 1.921458e+00 2.396825e+00 2.903129e-02 2.254067e+00 6.333350e-02 1.287952e-02 0 3
1.983012e+13 1.986058e+00 2.561132e+00 3.192556e-02 2.382553e+00 7.495268e-02 1.339973e-02 0 3
2.395738e+13 2.058684e+00 2.691564e+00 3.575611e-02 2.533859e+00 6.223916e-02 1.411132e-02 0 3
2.935994e+13 2.141200e+00 2.875978e+00 4.005937e-02 2.713523e+00 5.986886e-02 1.476286e-02 0 3
3.651520e+13 2.235145e+00 3.058101e+00 4.650134e-02 2.928812e+00 4.414378e-02 1.587720e-02 0 3
4.610355e+13 2.342320e+00 3.389949e+00 5.306286e-02 3.189395e+00 6.288144e-02 1.663728e-02 0 3
5.927402e+13 2.466310e+00 3.629805e+00 6.360274e-02 3.508305e+00 3.463198e-02 1.812919e-02 0 3
7.755439e+13 2.609632e+00 4.044028e+00 8.573048e-02 3.903298e+00 3.605415e-02 2.196360e-02 0 3
1.034575e+14 2.776842e+00 4.345207e+00 1.203401e-01 4.399408e+00 -1.232017e-02 2.735370e-02 0 3
1.399237e+14 2.968803e+00 4.985598e+00 1.731141e-01 5.031367e+00 -9.096679e-03 3.440697e-02 0 3
1.950056e+14 3.202121e+00 6.158738e+00 2.434982e-01 5.849409e+00 5.288207e-02 4.162783e-02 0 3
3.198832e+14 3.600296e+00 7.129219e+00 3.767934e-01 7.406173e+00 -3.739494e-02 5.087559e-02 0 3
8.227402e+12 1.575822e+00 1.797369e+00 2.528860e-02 1.643367e+00 9.371106e-02 1.538828e-02 0 4
9.067682e+12 1.602928e+00 1.824909e+00 1.994072e-02 1.696070e+00 7.596352e-02 1.175702e-02 0 4
1.035169e+13 1.640969e+00 1.896237e+00 2.081155e-02 1.755923e+00 7.990898e-02 1.185220e-02 0 4
1.192105e+13 1.683004e+00 1.943996e+00 2.186520e-02 1.824229e+00 6.565298e-02 1.198599e-02 0 4
1.383850e+13 1.729168e+00 2.031994e+00 2.342252e-02 1.902599e+00 6.800998e-02 1.231081e-02 0 4
1.624783e+13 1.780961e+00 2.157248e+00 2.502687e-02 1.993033e+00 8.239441e-02 1.255718e-02 0 4
1.930664e+13 1.839199e+00 2.259045e+00 2.670703e-02 2.098051e+00 7.673505e-02 1.272945e-02 0 4
2.320840e+13 1.904472e+00 2.376406e+00 3.077833e-02 2.220855e+00 7.004104e-02 1.385878e-02 0 4
2.822464e+13 1.977637e+00 2.520555e+00 3.170413e-02 2.365550e+00 6.552618e-02 1.340244e-02 0 4
3.474974e+13 2.059965e+00 2.745279e+00 3.632423e-02 2.537461e+00 8.189992e-02 1.431519e-02 0 4
4.351220e+13 2.154683e+00 2.919587e+00 4.394200e-02 2.743586e+00 6.414986e-02 1.601626e-02 0 4
5.518796e+13 2.261787e+00 3.152053e+00 5.124132e-02 2.993228e+00 5.306153e-02 1.711909e-02 0 4
7.123518e+13 2.385511e+00 3.478801e+00 6.385157e-02 3.298904e+00 5.453229e-02 1.935539e-02 0 4
9.344512e+13 2.527941e+00 3.758006e+00 8.285167e-02 3.677765e+00 2.181787e-02 2.252772e-02 0 4
1.250087e+14 2.694471e+00 4.299817e+00 1.055738e-01 4.153733e+00 3.516936e-02 2.541662e-02 0 4
1.699677e+14 2.887596e+00 4.736539e+00 1.645215e-01 4.760187e+00 -4.967870e-03 3.456199e-02 0 4
2.373008e+14 3.120113e+00 5.545214e+00 2.304360e-01 5.545179e+00 6.419519e-06 4.155609e-02 0 4
3.928213e+14 3.523562e+00 6.876180e+00 3.693859e-01 7.055800e+00 -2.545707e-02 5.235209e-02 0 4
8.209174e+12 1.461050e+00 1.614443e+00 2.433047e-02 1.477301e+00 9.283311e-02 1.646955e-02 0 5
9.027010e+12 1.485582e+00 1.649475e+00 1.817861e-02 1.521560e+00 8.406875e-02 1.194735e-02 0 5
1.029610e+13 1.520583e+00 1.675614e+00 1.844322e-02 1.571610e+00 6.617686e-02 1.173524e-02 0 5
1.183866e+13 1.559081e+00 1.761344e+00 1.922287e-02 1.628471e+00 8.159378e-02 1.180424e-02 0 5
1.372040e+13 1.601342e+00 1.803354e+00 2.143294e-02 1.693390e+00 6.493679e-02 1.265682e-02 0 5
1.605386e+13 1.648221e+00 1.872627e+00 2.098785e-02 1.767912e+00 5.923098e-02 1.187155e-02 0 5
1.899178e+13 1.700646e+00 2.002053e+00 2.392933e-02 1.853960e+00 7.987930e-02 1.290715e-02 0 5
2.271476e+13 1.759216e+00 2.096837e+00 2.598419e-02 1.953884e+00 7.316331e-02 1.329873e-02 0 5
2.747489e+13 1.824751e+00 2.232627e+00 2.803627e-02 2.070979e+00 7.805408e-02 1.353769e-02 0 5
3.359230e+13 1.897924e+00 2.394747e+00 3.124620e-02 2.208977e+00 8.409754e-02 1.414510e-02 0 5
4.169509e+13 1.981417e+00 2.537618e+00 3.417644e-02 2.373085e+00 6.933281e-02 1.440169e-02 0 5
5.246184e+13 2.076109e+00 2.737811e+00 4.126047e-02 2.570036e+00 6.528108e-02 1.605443e-02 0 5
6.682744e+13 2.183079e+00 3.017082e+00 5.077278e-02 2.808794e+00 7.415560e-02 1.807636e-02 0 5
8.662343e+13 2.306724e+00 3.251777e+00 5.964951e-02 3.101362e+00 4.849977e-02 1.923333e-02 0 5
1.141504e+14 2.449453e+00 3.692148e+00 7.921254e-02 3.464465e+00 6.571932e-02 2.286429e-02 0 5
1.532049e+14 2.615816e+00 4.034020e+00 1.071431e-01 3.920766e+00 2.888573e-02 2.732707e-02 0 5
2.092040e+14 2.809788e+00 4.582792e+00 1.493231e-01 4.502577e+00 1.781543e-02 3.316391e-02 0 5
2.910615e+14 3.038054e+00 5.209433e+00 2.087414e-01 5.255961e+00 -8.852471e-03 3.971517e-02 0 5
4.855949e+14 3.445676e+00 6.440928e+00 3.317626e-01 6.721128e+00 -4.168948e-02 4.936114e-02 0 5
8.229220e+12 1.351401e+00 1.439322e+00 2.127651e-02 1.333249e+00 7.955954e-02 1.595839e-02 0 6
9.066245e+12 1.374556e+00 1.469133e+00 1.619211e-02 1.370394e+00 7.205220e-02 1.181567e-02 0 6
1.032066e+13 1.406464e+00 1.536192e+00 1.662403e-02 1.412239e+00 8.776990e-02 1.177139e-02 0 6
1.182176e+13 1.441090e+00 1.579313e+00 1.741570e-02 1.459589e+00 8.202642e-02 1.193192e-02 0 6
1.368937e+13 1.479922e+00 1.609113e+00 1.883479e-02 1.513415e+00 6.323288e-02 1.244522e-02 0 6
1.599278e+13 1.522802e+00 1.701389e+00 1.897136e-02 1.574916e+00 8.030475e-02 1.204595e-02 0 6
1.887324e+13 1.570500e+00 1.763534e+00 2.116033e-02 1.645573e+00 7.168404e-02 1.285895e-02 0 6
2.245233e+13 1.622900e+00 1.875206e+00 2.181443e-02 1.727234e+00 8.566982e-02 1.262969e-02 0 6
2.703711e+13 1.681847e+00 1.970089e+00 2.523335e-02 1.822231e+00 8.114076e-02 1.384750e-02 0 6
3.289414e+13 1.747490e+00 2.089627e+00 2.554058e-02 1.933527e+00 8.073364e-02 1.320932e-02 0 6
4.051789e+13 1.821424e+00 2.228273e+00 2.974145e-02 2.064928e+00 7.910424e-02 1.440314e-02 0 6
5.052063e+13 1.904705e+00 2.405881e+00 3.415652e-02 2.221381e+00 8.305649e-02 1.537625e-02 0 6
6.379500e+13 1.998849e+00 2.584367e+00 3.923073e-02 2.409382e+00 7.262667e-02 1.628249e-02 0 6
8.183405e+13 2.106864e+00 2.843813e+00 4.491863e-02 2.637531e+00 7.821055e-02 1.703056e-02 0 6
1.065130e+14 2.230479e+00 3.110299e+00 5.986913e-02 2.917630e+00 6.603612e-02 2.051978e-02 0 6
1.405214e+14 2.371812e+00 3.463457e+00 7.475833e-02 3.265458e+00 6.063442e-02 2.289368e-02 0 6
1.893550e+14 2.538455e+00 3.830026e+00 9.660712e-02 3.703141e+00 3.426390e-02 2.608788e-02 0 6
2.583439e+14 2.729986e+00 4.306214e+00 1.415357e-01 4.261754e+00 1.043226e-02 3.321066e-02 0 6
3.600494e+14 2.957578e+00 5.116047e+00 2.048773e-01 4.985623e+00 2.616005e-02 4.109363e-02 0 6
6.043122e+14 3.368073e+00 6.127559e+00 3.004454e-01 6.406721e+00 -4.357325e-02 4.689535e-02 0 6
8.247780e+12 1.246641e+00 1.278563e+00 1.805717e-02 1.208837e+00 5.768007e-02 1.493763e-02 0 7
9.108422e+12 1.268538e+00 1.326737e+00 1.416205e-02 1.239904e+00 7.003138e-02 1.142188e-02 0 7
1.035774e+13 1.297753e+00 1.351529e+00 1.501868e-02 1.274787e+00 6.019969e-02 1.178132e-02 0 7
1.186279e+13 1.329683e+00 1.386615e+00 1.591029e-02 1.314117e+00 5.516804e-02 1.210721e-02 0 7
1.372484e+13 1.365306e+00 1.469427e+00 1.640423e-02 1.358652e+00 8.153247e-02 1.207390e-02 0 7
1.600602e+13 1.404417e+00 1.499323e+00 1.755478e-02 1.409329e+00 6.385590e-02 1.245613e-02 0 7
1.879134e+13 1.447004e+00 1.553596e+00 1.820044e-02 1.467290e+00 5.881942e-02 1.240412e-02 0 7
2.229315e+13 1.494478e+00 1.659759e+00 1.972443e-02 1.533956e+00 8.201251e-02 1.285854e-02 0 7
2.672138e+13 1.547339e+00 1.750104e+00 2.139162e-02 1.611098e+00 8.628013e-02 1.327766e-02 0 7
3.239318e+13 1.606530e+00 1.843264e+00 2.285345e-02 1.700954e+00 8.366467e-02 1.343567e-02 0 7
3.961093e+13 1.671962e+00 1.918649e+00 2.522965e-02 1.806328e+00 6.218182e-02 1.396737e-02 0 7
4.909306e+13 1.746102e+00 2.083350e+00 2.931744e-02 1.931011e+00 7.889107e-02 1.518243e-02 0 7
6.159576e+13 1.829730e+00 2.252995e+00 3.238773e-02 2.079634e+00 8.336126e-02 1.557376e-02 0 7
7.812979e+13 1.923675e+00 2.417228e+00 3.661946e-02 2.258464e+00 7.029736e-02 1.621432e-02 0 7
1.005742e+14 2.031157e+00 2.696460e+00 4.436072e-02 2.475952e+00 8.905975e-02 1.791663e-02 0 7
1.314588e+14 2.154689e+00 2.942038e+00 5.293553e-02 2.743221e+00 7.247577e-02 1.929685e-02 0 7
1.743597e+14 2.296768e+00 3.208473e+00 7.038500e-02 3.075681e+00 4.317484e-02 2.288436e-02 0 7
2.347512e+14 2.460998e+00 3.659460e+00 9.468934e-02 3.494605e+00 4.717420e-02 2.709587e-02 0 7
3.213460e+14 2.652694e+00 4.219592e+00 1.335578e-01 4.029982e+00 4.705005e-02 3.314104e-02 0 7
4.496896e+14 2.881513e+00 4.632702e+00 1.884524e-01 4.724469e+00 -1.942384e-02 3.988858e-02 0 7
7.463615e+14 3.280764e+00 5.715733e+00 2.698499e-01 6.100200e+00 -6.302526e-02 4.423624e-02 0 7
8.267229e+12 1.148153e+00 1.162941e+00 1.621867e-02 1.103091e+00 5.425685e-02 1.470293e-02 0 8
9.147189e+12 1.168715e+00 1.197102e+00 1.331585e-02 1.129031e+00 6.029206e-02 1.179405e-02 0 8
1.041802e+13 1.195972e+00 1.220674e+00 1.384096e-02 1.158069e+00 5.405954e-02 1.195175e-02 0 8
1.194434e+13 1.225644e+00 1.253136e+00 1.451576e-02 1.190703e+00 5.243375e-02 1.219091e-02 0 8
1.379078e+13 1.258027e+00 1.293923e+00 1.470866e-02 1.227533e+00 5.408381e-02 1.198229e-02 0 8
1.602423e+13 1.293204e+00 1.348534e+00 1.587955e-02 1.269286e+00 6.243513e-02 1.251062e-02 0 8
1.879677e+13 1.332211e+00 1.392737e+00 1.694822e-02 1.316850e+00 5.762767e-02 1.287027e-02 0 8
2.224191e+13 1.375242e+00 1.454016e+00 1.709302e-02 1.371320e+00 6.030351e-02 1.246464e-02 0 8
2.655628e+13 1.422804e+00 1.541962e+00 1.850478e-02 1.434056e+00 7.524506e-02 1.290380e-02 0 8
3.203142e+13 1.475740e+00 1.633644e+00 2.051297e-02 1.506758e+00 8.421158e-02 1.361398e-02 0 8
3.900748e+13 1.534519e+00 1.721049e+00 2.284524e-02 1.591571e+00 8.135226e-02 1.435389e-02 0 8
4.798845e+13 1.600052e+00 1.817432e+00 2.473563e-02 1.691232e+00 7.462015e-02 1.462580e-02 0 8
5.975306e+13 1.673874e+00 1.930787e+00 2.845806e-02 1.809264e+00 6.716690e-02 1.572908e-02 0 8
7.525701e+13 1.756930e+00 2.104295e+00 3.156393e-02 1.950224e+00 7.900190e-02 1.618477e-02 0 8
9.613181e+13 1.851652e+00 2.326599e+00 3.636850e-02 2.120235e+00 9.733066e-02 1.715305e-02 0 8
1.241454e+14 1.958533e+00 2.517658e+00 4.403576e-02 2.327252e+00 8.181581e-02 1.892178e-02 0 8
1.627135e+14 2.081336e+00 2.748247e+00 5.273592e-02 2.582159e+00 6.432120e-02 2.042319e-02 0 8
2.162939e+14 2.222542e+00 3.036637e+00 6.820479e-02 2.899787e+00 4.719323e-02 2.352062e-02 0 8
2.922579e+14 2.386838e+00 3.472271e+00 9.149707e-02 3.300741e+00 5.196736e-02 2.772016e-02 0 8
3.998772e+14 2.576431e+00 3.910670e+00 1.281812e-01 3.813909e+00 2.537054e-02 3.360888e-02 0 8
5.580242e+14 2.801448e+00 4.701684e+00 1.823964e-01 4.480582e+00 4.934677e-02 4.070818e-02 0 8
9.357367e+14 3.206876e+00 5.469960e+00 2.546631e-01 5.810528e+00 -5.861235e-02 4.382787e-02 0 8
8.152163e+12 1.083761e+00 1.103570e+00 1.850007e-02 1.036769e+00 6.443260e-02 1.784397e-02 0 9
8.891720e+12 1.100372e+00 1.119716e+00 1.238226e-02 1.059122e+00 5.721176e-02 1.169106e-02 0 9
1.010171e+13 1.125472e+00 1.130868e+00 1.295427e-02 1.084071e+00 4.316719e-02 1.194964e-02 0 9
1.154728e+13 1.152703e+00 1.161487e+00 1.408873e-02 1.112022e+00 4.448175e-02 1.266947e-02 0 9
1.329409e+13 1.182451e+00 1.198973e+00 1.469081e-02 1.143459e+00 4.854923e-02 1.284770e-02 0 9
1.541315e+13 1.214916e+00 1.244146e+00 1.426927e-02 1.178968e+00 5.528350e-02 1.210318e-02 0 9
1.801011e+13 1.250532e+00 1.293267e+00 1.581481e-02 1.219262e+00 6.069668e-02 1.297081e-02 0 9
2.121184e+13 1.289630e+00 1.311505e+00 1.665875e-02 1.265210e+00 3.659079e-02 1.316678e-02 0 9
2.522026e+13 1.332965e+00 1.397127e+00 1.791875e-02 1.317887e+00 6.012638e-02 1.359658e-02 0 9
3.025281e+13 1.380840e+00 1.473402e+00 1.784397e-02 1.378628e+00 6.874508e-02 1.294328e-02 0 9
3.661803e+13 1.433820e+00 1.548936e+00 1.993469e-02 1.449101e+00 6.889432e-02 1.375659e-02 0 9
4.477416e+13 1.492851e+00 1.647113e+00 2.174314e-02 1.531419e+00 7.554679e-02 1.419803e-02 0 9
5.537136e+13 1.559092e+00 1.741992e+00 2.456576e-02 1.628277e+00 6.983719e-02 1.508696e-02 0 9
6.918062e+13 1.633146e+00 1.868134e+00 2.619222e-02 1.743149e+00 7.170078e-02 1.502581e-02 0 9
8.739686e+13 1.716413e+00 2.024251e+00 3.279815e-02 1.880523e+00 7.643020e-02 1.744097e-02 0 9
1.119446e+14 1.811341e+00 2.236902e+00 3.612297e-02 2.046457e+00 9.306085e-02 1.765147e-02 0 9
1.450193e+14 1.918756e+00 2.468018e+00 4.390851e-02 2.248801e+00 9.748151e-02 1.952530e-02 0 9
1.906552e+14 2.042293e+00 2.652025e+00 4.894115e-02 2.498317e+00 6.152446e-02 1.958965e-02 0 9
2.539204e+14 2.183950e+00 2.951051e+00 6.703875e-02 2.809689e+00 5.031266e-02 2.385985e-02 0 9
3.434241e+14 2.348444e+00 3.451364e+00 8.607737e-02 3.203266e+00 7.745188e-02 2.687175e-02 0 9
4.715592e+14 2.540192e+00 3.785908e+00 1.270198e-01 3.707692e+00 2.109549e-02 3.425845e-02 0 9
6.550995e+14 2.762412e+00 4.439497e+00 1.842919e-01 4.363723e+00 1.736441e-02 4.223272e-02 0 9
1.088684e+15 3.160933e+00 5.335507e+00 2.513921e-01 5.670821e+00 -5.912975e-02 4.433082e-02 0 9
6.122700e+12 3.154320e+00 5.637528e+00 6.581603e-01 5.572325e+00 1.170123e-02 1.181123e-01 1 0
6.561961e+12 3.191570e+00 5.640684e+00 1.488250e-01 5.818704e+00 -3.059452e-02 2.557701e-02 1 0
7.626144e+12 3.274659e+00 5.909016e+00 1.563010e-01 6.133764e+00 -3.664117e-02 2.548207e-02 1 0
9.151840e+12 3.379879e+00 6.477487e+00 1.775687e-01 6.541968e+00 -9.856546e-03 2.714301e-02 1 0
1.136555e+13 3.511513e+00 6.866029e+00 2.255203e-01 7.079246e+00 -3.011856e-02 3.185654e-02 1 0
1.468579e+13 3.677268e+00 7.701406e+00 2.846076e-01 7.799880e+00 -1.262501e-02 3.648871e-02 1 0
1.990531e+13 3.889315e+00 7.834068e+00 4.053712e-01 8.788278e+00 -1.085776e-01 4.612635e-02 1 0
3.199180e+13 4.257683e+00 8.974360e+00 5.969655e-01 1.065169e+01 -1.574708e-01 5.604421e-02 1 0
6.444669e+12 2.411806e+00 3.398293e+00 5.389336e-02 3.358878e+00 1.173472e-02 1.604505e-02 1 1
